ident_m,bemonsteringsapparaat_code,surf,begindiepte_m,monsterophaaldatum,monsterophaaltijd,geometriepunt_x,geometriepunt_y,sttcd,locatie,Code_sediment_file,D10,D50,D90,perc0_2,perc2_63,perc63_125,perc125_250,perc250_500,perc500_1000,perc1000_2000
IMA2017_L13246M59471,Box-corer,0.078,4,5-7-2017,16:17:00,5.71265,53.46948,17-AM-424,424,17-EGSII-AM-424,59.87,156.39,221.54,1.05,10.64,30.76,57.33,0.22,0,0
IMA2017_L13247M59472,Box-corer,0.078,6,5-7-2017,15:46:00,5.71187,53.47777,17-AM-425,425,17-EGSII-AM-425,69.93,148.33,219.72,1.04,8.84,39.08,50.74,0.31,0,0
IMA2017_L13248M59473,Box-corer,0.078,7,5-7-2017,15:23:00,5.7115,53.48598,17-AM-426,426,17-EGSII-AM-426,101.7,166.34,230.9,0.95,3.59,29.53,65.24,0.68,0,0
IMA2017_L13249M59474,Box-corer,0.078,10,5-7-2017,15:00:00,5.71122,53.49452,17-AM-427,427,17-EGSII-AM-427,94.87,156.38,218.77,0.99,5.19,35.38,58.27,0.17,0,0
IMA2017_L13250M59475,Box-corer,0.078,6,5-7-2017,07:49:00,5.87272,53.47767,17-AM-444,444,17-EGSII-AM-444,115.2,163.77,224.35,0.91,1.97,30.96,65.84,0.32,0,0
IMA2017_L13251M59476,Box-corer,0.078,8,5-7-2017,08:14:00,5.87325,53.48167,17-AM-445,445,17-EGSII-AM-445,107.2,160.18,225.76,1,4.11,32.61,61.44,0.84,0,0
IMA2017_L13252M59477,Box-corer,0.078,9,5-7-2017,09:07:00,5.87275,53.48985,17-AM-446,446,17-EGSII-AM-446,104.39,162.17,247.77,1.02,3.51,33.15,57.27,3.87,1.18,0
IMA2017_L13253M59478,Box-corer,0.078,11,5-7-2017,09:38:00,5.87153,53.49808,17-AM-447,447,17-EGSII-AM-447,102.44,163.22,238.66,1,4.3,31.7,60.85,2.15,0,0
IMA2017_L13201M59426,Steekbuis,0.017,0.5,19-6-2017,15:21:00,4.60327,52.55833,17-NH-211,211,17-EGSII-NH-211,237.91,432.43,1506.05,0,0,0.02,21.09,38.41,22.18,18.3
IMA2017_L13202M59427,Steekbuis,0.017,2,19-6-2017,14:22:00,4.60345,52.55792,17-NH-212,212,,,,,,,,,,,
IMA2017_L13203M59428,Box-corer,0.078,5,19-6-2017,10:57:00,4.59815,52.56653333,17-NH-214,214,17-NH-214,159.79,240.23,380.8,0,0.01,5.95,62.92,25.51,3.32,2.29
IMA2017_L13204M59429,Box-corer,0.078,7,19-6-2017,11:48:00,4.59608333,52.56685,17-NH-215,215,17-NH-215,129.93,210.61,314.03,0.83,3.38,11.34,66.75,16.93,0.77,0
IMA2017_L13205M59430,Box-corer,0.078,8,19-6-2017,12:27:00,4.59306667,52.56688333,17-NH-216,216,17-NH-216,117.45,174.31,249.05,0.87,2.98,23.9,68.86,3.4,0,0
IMA2017_L13206M59431,Box-corer,0.078,10,19-6-2017,13:05:00,4.58935,52.56703333,17-NH-217,217,17-NH-217,107.7,167.62,252.34,0.99,4.98,27.29,60.99,4.82,0.75,0.17
IMA2017_L13207M59432,Steekbuis,0.017,0.5,20-6-2017,11:56:00,4.60832,52.5889,17-NH-221,221,17-NH-221,217.02,300.42,419.2,0,0,0,40.7,58.88,0.42,0
IMA2017_L13208M59433,Steekbuis,0.017,2,20-6-2017,09:25:00,4.60652,52.58875,17-NH-222,222,17-NH-222,266.61,482.7,1216.63,0,0,0,12.85,45.18,30.66,11.31
IMA2017_L13209M59434,Steekbuis,0.017,3,20-6-2017,09:09:00,4.60434,52.588375,17-NH-223,223,17-NH-223,179.67,252.11,353.9,0,0,1.19,64.94,33.87,0,0
IMA2017_L13210M59435,Box-corer,0.078,5,20-6-2017,06:54:00,4.60395,52.59161667,17-NH-224,224,17-NH-224,142.47,210.58,299.44,0.78,2.23,8.4,74.24,14.34,0,0
IMA2017_L13211M59436,Box-corer,0.078,6,20-6-2017,07:16:00,4.60183333,52.59193333,17-NH-225,225,17-NH-225,74.31,196.11,300.59,1.07,8.71,12.53,64.11,12.63,0.64,0.3
IMA2017_L13212M59437,Box-corer,0.078,8,20-6-2017,07:44:00,4.59933333,52.59195,17-NH-226,226,17-NH-226,124.31,190.32,283.17,0.83,3.27,16.54,69.18,9.72,0.46,0
IMA2017_L13213M59438,Box-corer,0.078,10,20-6-2017,08:08:00,4.59526667,52.59188333,17-NH-227,227,17-NH-227,113.96,174.55,265.82,0.86,3.24,25.05,63.71,6.34,0.79,0
IMA2017_L13214M59439,Steekbuis,0.017,0.5,21-6-2017,08:04:00,4.60938,52.60947,17-NH-231,231,17-EGSII-NH-231,200.23,278.88,387.82,0,0,0.14,51.62,48.22,0.02,0
IMA2017_L13215M59440,Steekbuis,0.017,2,21-6-2017,08:56:00,4.6073,52.60952,17-NH-232,232,17-EGSII-NH-232,189.96,264.01,363.24,0,0,0.43,59.77,39.79,0,0
IMA2017_L13216M59441,Steekbuis,0.017,3,21-6-2017,08:46:00,4.60778,52.60957,17-NH-233,233,17-EGSII-NH-233,182.56,263.03,409.59,0,0,1.23,58.09,33.3,2.77,4.6
IMA2017_L13217M59442,Box-corer,0.078,5,20-6-2017,14:18:00,4.60813333,52.61658333,17-NH-234,234,17-NH-234,182.53,267.49,372.61,0.62,0.7,1.86,54.48,42.34,0,0
IMA2017_L13218M59443,Box-corer,0.078,6,20-6-2017,14:41:00,4.6066,52.6165,17-NH-235,235,17-NH-235,194.05,276.82,392.24,0,0,1.05,51.69,47.15,0.11,0
IMA2017_L13219M59444,Box-corer,0.078,9,20-6-2017,15:03:00,4.6039,52.61666667,17-NH-236,236,17-NH-236,123.74,195.74,315.27,0.79,2.35,17.45,63.9,11.69,1.21,2.62
IMA2017_L13220M59445,Box-corer,0.078,12,20-6-2017,15:29:00,4.6,52.61693333,17-NH-237,237,17-NH-237,118.71,191.27,319.61,0.8,2.47,20.5,60.21,12.35,0.81,2.85
IMA2017_L13221M59446,Steekbuis,0.017,0.5,21-6-2017,13:20:00,4.62577,52.66677,17-NH-241,241,17-NH-241,222.88,313.61,445.91,0,0,0,35.13,63.14,1.73,0
IMA2017_L13222M59447,Steekbuis,0.017,2,21-6-2017,12:11:00,4.62418,52.66742,17-NH-242,242,17-NH-242,198.05,277.99,389.79,0,0,0.27,51.93,47.76,0.04,0
IMA2017_L13223M59448,Steekbuis,0.017,3,21-6-2017,12:02:00,4.62318,52.66783,17-NH-243,243,17-NH-243,185.71,259.67,360.06,0,0,0.64,61.74,37.62,0,0
IMA2017_L13224M59449,Box-corer,0.078,6,21-6-2017,12:02:00,4.61776667,52.66683333,17-NH-244,244,17-NH-244,168.39,247.67,342.16,0.67,0.67,3.49,63.79,31.39,0,0
IMA2017_L13225M59450,Box-corer,0.078,6,21-6-2017,07:54:00,4.61525,52.66695,17-NH-245,245,17-NH-245,185.48,269.1,377.29,0.63,0.64,1.62,53.97,43.12,0.02,0
